#c=0.000100, alpha=0.900000, tmin=0.000000, tmax=5.000000, N_t=100000, epsilonIntegral=0.000001, epsilonBinning=0.000001, dim=2, initialEnsemble: { (100000, (0.707107+0.000000i, 0.500000+0.500000i)) }
795.774715
0.0000 0.0000 0001 0.000000 0.000000 -3.141593 0.5000000+0.0000000i 0.3535534-0.3535534i 0.3535534+0.3535534i 0.5000000+0.0000000i 0.5000000+0.0000000i 0.3535534-0.3535534i 0.3535534+0.3535534i 0.5000000+0.0000000i 
0.00005 0.0000 0001 0.000006 -0.000000 0.000000 0.5000000+0.0000000i 0.3536644-0.3534423i 0.3536644+0.3534423i 0.5000000+0.0000000i 0.5000000+0.0000000i 0.3536644-0.3534423i 0.3536644+0.3534423i 0.5000000+0.0000000i 
0.00505 0.0000 0001 0.000374 -0.000000 0.000001 0.5000000+0.0000000i 0.3645918-0.3421590i 0.3645918+0.3421590i 0.5000000+0.0000000i 0.5000000+0.0000000i 0.3645918-0.3421587i 0.3645918+0.3421587i 0.5000000+0.0000000i 
0.01005 0.0000 0001 0.000695 -0.000000 0.000005 0.5000000+0.0000000i 0.3751594-0.3305381i 0.3751594+0.3305381i 0.5000000+0.0000000i 0.5000000+0.0000000i 0.3751594-0.3305368i 0.3751594+0.3305368i 0.5000000+0.0000000i 
0.01505 0.0000 0001 0.000999 -0.000001 0.000011 0.5000000+0.0000000i 0.3853568-0.3185909i 0.3853568+0.3185909i 0.5000000-0.0000000i 0.5000000+0.0000000i 0.3853567-0.3185883i 0.3853567+0.3185883i 0.5000000+0.0000000i 
0.02005 0.0000 0001 0.001292 -0.000001 0.000019 0.5000000+0.0000000i 0.3951738-0.3063293i 0.3951738+0.3063293i 0.5000000+0.0000000i 0.5000000+0.0000000i 0.3951737-0.3063250i 0.3951737+0.3063250i 0.5000000+0.0000000i 
0.02505 0.0000 0004 0.001578 -0.000002 0.000029 0.5000002+0.0000000i 0.4046014-0.2937483i 0.4046014+0.2937483i 0.4999998-0.0000000i 0.5000001+0.0000000i 0.4046007-0.2937590i 0.4046007+0.2937590i 0.4999999-0.0000000i 
0.03005 0.0000 0005 0.001857 -0.000004 0.000042 0.5000002+0.0000000i 0.4136288-0.2808890i 0.4136288+0.2808890i 0.4999998-0.0000000i 0.5000001+0.0000000i 0.4136285-0.2809027i 0.4136285+0.2809027i 0.4999999-0.0000000i 
0.03505 0.0000 0006 0.002130 -0.000006 0.000056 0.5000003+0.0000000i 0.4222479-0.2677526i 0.4222479+0.2677526i 0.4999997+0.0000000i 0.5000002+0.0000000i 0.4222479-0.2677690i 0.4222479+0.2677690i 0.4999998-0.0000000i 
0.04005 0.0000 0007 0.002398 -0.000009 0.000072 0.5000004+0.0000000i 0.4304502-0.2543524i 0.4304502+0.2543524i 0.4999996+0.0000000i 0.5000002-0.0000000i 0.4304507-0.2543708i 0.4304507+0.2543708i 0.4999998-0.0000000i 
0.04505 0.0000 0008 0.002661 -0.000012 0.000089 0.5000005+0.0000000i 0.4382277-0.2407014i 0.4382277+0.2407014i 0.4999995+0.0000000i 0.5000003-0.0000000i 0.4382286-0.2407214i 0.4382286+0.2407214i 0.4999997-0.0000000i 
0.05005 0.0000 0010 0.002920 -0.000017 0.000109 0.5000006+0.0000000i 0.4455727-0.2268092i 0.4455727+0.2268092i 0.4999994+0.0000000i 0.5000004-0.0000000i 0.4455740-0.2268343i 0.4455740+0.2268343i 0.4999996-0.0000000i 
0.05505 0.0000 0010 0.003175 -0.000022 0.000130 0.5000007+0.0000000i 0.4524774-0.2127009i 0.4524774+0.2127009i 0.4999993-0.0000000i 0.5000005-0.0000000i 0.4524796-0.2127232i 0.4524796+0.2127232i 0.4999995-0.0000000i 
0.06005 0.0000 0013 0.003426 -0.000028 0.000153 0.5000009+0.0000000i 0.4589362-0.1983729i 0.4589362+0.1983729i 0.4999991+0.0000000i 0.5000006-0.0000000i 0.4589386-0.1984022i 0.4589386+0.1984022i 0.4999994-0.0000000i 
